,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,CD4C0,CD4C0,CD4C0,CCA50,CCA50,CCA50,CD0F0,CD0F0,CD0F0
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
30,0.3,-41.001591,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
31,0.31,-41.07711,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.854668,-0.07772,0.096504,-1.206621,0.87955,-0.078277,0.097751,-1.278398,0.848453,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
32,0.32,-40.894386,0.760977,1.54913,-0.12572,0.0964,-1.230796,0.001345,-0.221372,0.094362,-1.207184,0.854668,-0.077506,0.097178,-1.20671,0.87955,-0.078282,0.097661,-1.278494,0.848453,-0.222504,0.094338,-1.206894,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
33,0.33,-41.07711,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.707815,-0.07772,0.096504,-1.206621,0.800608,-0.078277,0.097751,-1.278398,0.849365,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
34,0.34,-41.165417,1.826014,-0.286012,-0.125751,0.095395,-1.230683,0.000623,-0.221519,0.093681,-1.207521,0.843906,-0.077633,0.094749,-1.206402,0.941228,-0.078101,0.097754,-1.278127,0.90708,-0.222111,0.093668,-1.207322,-0.077469,0.094757,-1.20657,-0.07773,0.097757,-1.278136
35,0.35,-41.001591,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
36,0.36,-40.731113,0.817625,1.463129,-0.125408,0.096473,-1.230749,0.000574,-0.220993,0.09444,-1.206866,0.795232,-0.077124,0.097185,-1.2068,0.814954,-0.078107,0.097793,-1.27858,0.876784,-0.221312,0.094433,-1.206767,-0.076995,0.097192,-1.207322,-0.077892,0.097793,-1.278173
37,0.37,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.916325,-0.077733,0.096505,-1.206635,0.865381,-0.0783,0.097662,-1.278413,0.884838,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
38,0.38,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.85884,-0.077733,0.096505,-1.206635,0.882942,-0.0783,0.097662,-1.278413,0.855645,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
39,0.39,-41.065788,1.189591,1.183868,-0.125883,0.09596,-1.230865,0.000717,-0.221602,0.093682,-1.207551,0.860539,-0.077738,0.096504,-1.206634,0.882721,-0.078308,0.097693,-1.278412,0.857543,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077801,0.097699,-1.278152
40,0.4,-41.077118,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.860539,-0.07772,0.096504,-1.206621,0.882721,-0.078277,0.097751,-1.278398,0.857543,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
41,0.41,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.854668,-0.077733,0.096505,-1.206635,0.87955,-0.0783,0.097662,-1.278413,0.848453,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
42,0.42,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.85884,-0.077733,0.096505,-1.206635,0.882942,-0.0783,0.097662,-1.278413,0.855645,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
43,0.43,-41.001591,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
44,0.44,-41.021862,1.074202,0.981852,-0.12598,0.096168,-1.230779,0.001036,-0.221688,0.094253,-1.207386,0.795232,-0.077813,0.096502,-1.206587,0.814954,-0.078439,0.09775,-1.278363,0.876784,-0.222523,0.094234,-1.207041,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
45,0.45,-41.01152,0.994121,1.7012,-0.125606,0.096206,-1.23092,0.001063,-0.221297,0.093689,-1.207511,0.77408,-0.077447,0.097176,-1.206732,0.868999,-0.078076,0.097752,-1.278517,0.813913,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.07773,0.097757,-1.278136
46,0.46,-41.077118,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.854668,-0.07772,0.096504,-1.206621,0.87955,-0.078277,0.097751,-1.278398,0.848453,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
47,0.47,-41.077118,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.854668,-0.07772,0.096504,-1.206621,0.87955,-0.078277,0.097751,-1.278398,0.848453,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
48,0.48,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.854668,-0.077733,0.096505,-1.206635,0.87955,-0.0783,0.097662,-1.278413,0.848453,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
49,0.49,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.85884,-0.077733,0.096505,-1.206635,0.882942,-0.0783,0.097662,-1.278413,0.855645,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
50,0.5,-41.001587,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
51,0.51,-41.153275,1.772359,-0.238964,-0.125769,0.095365,-1.23069,0.000604,-0.221533,0.09368,-1.207507,0.848211,-0.077646,0.094749,-1.206416,0.941281,-0.078128,0.097665,-1.278145,0.913604,-0.222111,0.093668,-1.207322,-0.077469,0.094757,-1.20657,-0.077783,0.097669,-1.278157
