,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,C5290,C5290,C5290,C53E0,C53E0,C53E0,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,C5210,C5210,C5210
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.28,-22.927143,-0.741721,-0.594941,0.95667,0.07118,0.785897,0.000476,1.032656,0.069093,0.711346,0.886509,1.030075,0.069241,0.861556,0.899255,0.947952,0.071412,0.858892,0,0.815997,0.074972,0.711793,0.948116,1.033004,0.069084,0.711638,1.02993,0.069245,0.86118,,,,0.815813,0.074977,0.711887
29,0.29,-22.916788,-0.644248,-0.693149,0.95666,0.071222,0.785851,0.000483,1.032632,0.069233,0.711283,0.886509,1.030074,0.069047,0.861493,0.899255,0.947954,0.071299,0.858848,0,0.815979,0.075309,0.711778,0.948116,1.032907,0.069224,0.71171,1.030032,0.069049,0.861067,,,,0.815772,0.075315,0.711798
30,0.3,-22.927082,-0.116128,0.579885,0.956536,0.069445,0.78578,0.000574,1.032536,0.069271,0.711215,0.856841,1.029979,0.069048,0.861425,0.909444,0.947827,0.069324,0.858776,0,0.8158,0.070135,0.711702,0.903399,1.032898,0.069269,0.711658,1.030032,0.069049,0.861067,,,,0.815416,0.070137,0.711653
31,0.31,-22.764828,-2.279066,0.030457,0.956768,0.073485,0.785579,0.000787,1.03252,0.06921,0.710884,0.856841,1.030408,0.073709,0.861034,0.909444,0.948278,0.075835,0.858564,0,0.815865,0.075188,0.711835,0.903399,1.032907,0.069224,0.71171,1.030414,0.073687,0.860319,,,,0.815549,0.075196,0.711803
32,0.32,-22.981907,-1.488436,1.236742,0.956007,0.071402,0.785918,0.00152,1.032068,0.069344,0.711444,0.752443,1.029389,0.073102,0.861605,0.502294,0.94724,0.073207,0.858886,0.206452,0.81533,0.069955,0.711739,0.949864,1.033004,0.069084,0.711638,1.030331,0.073975,0.860084,0.944908,0.072039,0.860696,0.815364,0.070144,0.711679
33,0.33,-22.962944,-0.276637,0.616053,0.956383,0.069649,0.785889,0.000549,1.03243,0.069226,0.711372,0.752443,1.029778,0.069429,0.861581,0.502294,0.947629,0.069739,0.85888,0.206452,0.815693,0.070202,0.711722,0.949864,1.032907,0.069224,0.71171,1.029745,0.069429,0.861269,,,,0.815285,0.070204,0.711731
34,0.34,-22.961145,-0.779826,-0.647361,0.956542,0.071246,0.785868,0.000501,1.032571,0.069057,0.711363,0.862968,1.029899,0.069246,0.861572,0.901723,0.94778,0.071506,0.858858,0,0.815919,0.075175,0.711678,0.925605,1.032869,0.069049,0.711824,1.02993,0.069245,0.86118,,,,0.815623,0.075183,0.711645
35,0.35,-23.09667,-0.698188,0.65125,0.955846,0.070113,0.786233,0.001241,1.032065,0.068992,0.711899,0.862968,1.029065,0.070255,0.862097,0.901723,0.946923,0.070735,0.859202,0,0.815331,0.07047,0.711736,0.925605,1.032965,0.069221,0.711683,1.029745,0.069429,0.861269,0.944908,0.072039,0.860696,0.81532,0.070219,0.711687
36,0.36,-22.938335,-0.284282,0.590355,0.956497,0.069503,0.785851,0.000611,1.032512,0.069048,0.711301,0.845454,1.029925,0.069245,0.861511,0.917141,0.947774,0.069594,0.858846,0,0.815776,0.070125,0.711744,0.88791,1.032991,0.069047,0.711692,1.02993,0.069245,0.86118,,,,0.815328,0.070127,0.711724
37,0.37,-23.097471,-0.687476,0.682557,0.95585,0.07008,0.786237,0.00119,1.03207,0.069,0.711904,0.845454,1.029068,0.070268,0.862101,0.917141,0.946926,0.070701,0.859205,0,0.815335,0.070353,0.711739,0.88791,1.032825,0.069218,0.711693,1.029745,0.069429,0.861269,0.944908,0.072039,0.860696,0.815405,0.070104,0.711701
38,0.38,-23.0138,-1.539119,-0.194188,0.956009,0.072751,0.785948,0.001502,1.0321,0.069584,0.711542,0.773895,1.029311,0.072063,0.861728,0.35865,0.94719,0.074109,0.858918,0.110789,0.815435,0.075249,0.711602,0.91084,1.032849,0.069103,0.711704,1.030255,0.073772,0.860064,0.944908,0.072039,0.860696,0.815584,0.075573,0.711603
39,0.39,-23.068312,-0.786028,-0.568672,0.956078,0.071333,0.786281,0.001305,1.032247,0.06919,0.711919,0.773895,1.029296,0.06947,0.862122,0.35865,0.94718,0.071629,0.859254,0.110789,0.815587,0.075043,0.711828,0.91084,1.032917,0.069217,0.711774,1.02993,0.069245,0.86118,0.944908,0.072039,0.860696,0.815813,0.074977,0.711887
40,0.4,-23.079517,-0.703797,0.648772,0.955895,0.070009,0.786216,0.001265,1.032091,0.068876,0.711859,0.798574,1.029137,0.07015,0.862057,0.62765,0.946994,0.070637,0.859187,0.267238,0.815358,0.070371,0.71176,0.935156,1.032849,0.069103,0.711704,1.02993,0.069245,0.86118,0.944908,0.072039,0.860696,0.815381,0.070121,0.711697
41,0.41,-22.638174,-1.701328,0.272446,0.956615,0.072388,0.786649,0.002075,1.03222,0.069276,0.711747,0.798574,1.030431,0.072607,0.861932,0.62765,0.948282,0.074112,0.859669,0.267238,0.815529,0.073557,0.713248,0.935156,1.032893,0.069187,0.711765,1.030414,0.073687,0.860319,0.944908,0.072039,0.860696,0.816382,0.073832,0.713888
