1003.2,81,59
1003.25,78,58
1003.3,77,59
1003.35,79,61
1003.4,84,61
1003.45,83,61
1003.5,82,59
1003.55,81,59
1003.6,81,58
1003.65,85,57
1003.7,84,60
1003.75,83,61
1003.8,81,56
1003.85,78,62
1003.9,75,66
1003.95,72,67
1004,70,69
1004.05,69,70
1004.1,69,71
1004.15,70,70
1004.2,71,71
1004.25,71,72
1004.3,70,72
1004.35,69,71
1004.4,69,72
1004.45,69,69
1004.5,68,66
1004.55,71,68
1004.6,72,72
1004.65,72,71
1004.7,67,70
1004.75,66,70
1004.8,68,71
1004.85,69,72
1004.9,70,70
1004.95,70,70
1005,69,71
1005.05,69,71
1005.1,69,70
1005.15,68,68
1005.2,68,70
1005.25,68,70
1005.3,71,70
1005.35,71,69
1005.4,71,71
1005.45,71,73
1005.5,72,72
1005.55,71,70
1005.6,72,68
1005.65,71,68
1005.7,72,71
1005.75,71,68
1005.8,70,72
1005.85,71,71
1005.9,73,69
1005.95,72,70
1006,70,69
1006.05,68,70
1006.1,69,68
1006.15,71,70
1006.2,70,71
1006.25,72,71
1006.3,72,71
1006.35,69,69
1006.4,69,70
1006.45,69,70
1006.5,69,69
1006.55,70,70
1006.6,71,71
1006.65,71,71
1006.7,67,69
1006.75,66,68
1006.8,67,70
1006.85,70,72
1006.9,71,71
1006.95,71,69
1007,69,71
1007.05,68,70
1007.1,68,69
1007.15,66,68
1007.2,68,70
1007.25,68,69
1007.3,70,71
1007.35,73,72
1007.4,72,71
1007.45,71,72
1007.5,70,70
1007.55,71,70
1007.6,71,70
1007.65,72,68
1007.7,73,70
1007.75,74,69
1007.8,73,67
1007.85,75,67
1007.9,77,65
1007.95,76,63
1008,76,64
1008.05,74,64
1008.1,74,64
1008.15,74,65
1008.2,75,66
1008.25,78,63
1008.3,80,63
1008.35,80,59
1008.4,81,58
1008.45,81,58
1008.5,82,59
1008.55,81,58
1008.6,79,58
1008.65,79,56
1008.7,82,56
1008.75,85,55
1008.8,86,54
1008.85,87,54
1008.9,85,53
1008.95,86,53
1009,82,53
1009.05,83,54
1009.1,87,54
1009.15,89,54
1009.2,87,54
1009.25,87,52
1009.3,86,55
1009.35,89,55
1009.4,89,56
1009.45,89,55
1009.5,88,54
1009.55,85,53
1009.6,88,53
