,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,C3F00,C3F00,C3F00,C3F30,C3F30,C3F30,C3F10,C3F10,C3F10
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
31,0.31,2.233116,-0.038698,0.684062,-0.563854,0.096945,0.539286,0.000325,-0.467005,0.098035,0.512701,0.959746,-0.611392,0.096908,0.592229,0.941968,-0.613166,0.095892,0.512927,0.93367,-0.466814,0.098037,0.512636,-0.611519,0.096904,0.592011,-0.613237,0.095895,0.513215
32,0.32,2.188617,-0.146626,0.767333,-0.563884,0.096846,0.539261,0.00037,-0.467016,0.098035,0.512749,0.949548,-0.611463,0.096833,0.592167,0.936971,-0.613174,0.09567,0.512867,0.92606,-0.466814,0.098037,0.512636,-0.611699,0.096826,0.591923,-0.613152,0.095675,0.513225
33,0.33,2.222153,-0.254875,0.765398,-0.563831,0.096864,0.539247,0.000266,-0.466979,0.098007,0.512676,0.942074,-0.611379,0.096949,0.592181,0.914997,-0.613136,0.095636,0.512884,0.910293,-0.466835,0.098008,0.512578,-0.611579,0.096943,0.592015,-0.613088,0.095641,0.513146
34,0.34,2.230638,-0.295503,0.801495,-0.563811,0.096847,0.539283,0.000254,-0.466963,0.098036,0.512697,0.956468,-0.611351,0.096938,0.592224,0.934998,-0.613119,0.095569,0.512928,0.933208,-0.466814,0.098037,0.512636,-0.611471,0.096933,0.592061,-0.613154,0.095572,0.513154
35,0.35,2.216634,0.117024,0.688425,-0.56389,0.096875,0.539265,0.000413,-0.467033,0.098035,0.512711,0.959615,-0.611444,0.096696,0.592194,0.949419,-0.613194,0.095895,0.51289,0.942878,-0.466814,0.098037,0.512636,-0.611595,0.09669,0.591874,-0.613276,0.095898,0.513297
36,0.36,2.205391,-0.22134,0.7908,-0.563863,0.096836,0.539251,0.000318,-0.467003,0.098035,0.512709,0.941978,-0.611427,0.096869,0.592171,0.911324,-0.61316,0.095603,0.512872,0.896353,-0.466814,0.098037,0.512636,-0.61157,0.096863,0.591968,-0.613213,0.095606,0.513151
37,0.37,2.226685,-0.158046,0.742566,-0.563819,0.096893,0.539288,0.000327,-0.466967,0.098036,0.512712,0.949207,-0.611362,0.096912,0.592226,0.93796,-0.613126,0.095732,0.512927,0.929162,-0.466814,0.098037,0.512636,-0.611522,0.096906,0.591945,-0.613131,0.095738,0.513289
38,0.38,2.231511,-0.22811,0.766579,-0.563813,0.09688,0.539282,0.000289,-0.466965,0.098036,0.512696,0.959398,-0.611352,0.096941,0.592223,0.935715,-0.613122,0.095664,0.512926,0.926602,-0.466814,0.098037,0.512636,-0.611472,0.096935,0.591996,-0.61316,0.095668,0.513217
39,0.39,2.263044,-0.103715,0.746639,-0.563845,0.096881,0.539243,0.000286,-0.467011,0.098052,0.512606,0.962802,-0.611356,0.096847,0.592211,0.918882,-0.613169,0.095743,0.512911,0.91109,-0.466894,0.098052,0.512514,-0.611553,0.096841,0.591953,-0.6131,0.095749,0.51326
40,0.4,2.234019,-0.174228,0.766857,-0.563828,0.096835,0.539254,0.000315,-0.466981,0.098013,0.512665,0.955022,-0.611365,0.096847,0.592198,0.922796,-0.613138,0.095646,0.512899,0.915766,-0.466825,0.098014,0.512574,-0.611553,0.096841,0.591953,-0.613115,0.095651,0.513235
