Method:,Lin et al. (2019) // New method (2020)
d00(m):,0.06,d01(m):,0.06,d02(m):,0.06,d03(m):,0.06,l10(m):,0.2,l20(m):,0.2
N:,1,R(m):,0.35,Rrate(%):,100,#180curves:,2
VLIN_NOM_0(ticks/cyc):,0.075,VLIN_DA_0(ticks/cyc):,0.05,VANG_NOM_0(rad/cyc):,0.5,VANG_DA_0(rad/cyc):,0.3,DVMAX(ticks/cyc^2):,0.0004,DWMAX(ticks/cyc^2):,0.0025

time(s):,odo0(thicks/cyc):,odo1(thicks/cyc):,odo2(thicks/cyc):,odo3(thicks/cyc):,xodo(m):,yodo(m):,thodo(rad):,v(?):,vn(?):,omega(?):
Run:,1
0.920000000000001,-0.00182291658696,0.00182291658696,-0.00182291658696,0.00190972222003,0.01244,-0.00005728,-0.0004909,0.0364,0.00003976,0.0002045,0
0.930000000000001,-0.00182291658696,0.00182291658696,-0.00182291658696,0.00190972222003,0.01278,-0.00006153,-0.0004704,0.0368,0.00004296,0.0001963,0
0.940000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01314,-0.00006169,-0.0004295,0.0372,0.00004615,0.0001882,0
0.950000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.0135,-0.00006183,-0.0003886,0.0376,0.00004627,0.0001718,0
0.960000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01386,-0.00006195,-0.0003477, 0.038,0.00004637,0.0001554,0
0.970000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01422,-0.00006206,-0.0003068,0.0384,0.00004647,0.0001391,0
0.980000000000001,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01459,-0.00007444,-0.0002863,0.0388,0.00004655,0.0001227,0
0.990000000000001,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01495,-0.00008681,-0.0002659,0.0392,0.00005583,0.0001145,0
1,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01532,-0.00009917,-0.0002454,0.0396,0.00006511,0.0001064,0
1.01,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.0157,-0.0001115,-0.0001841,  0.04,0.00007438,0.00009817,0
1.02,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.01608,-0.0001238,-0.0001227,0.0404,0.00008363,0.00007363,0
1.03,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.01646,-0.0001361,-0.00006136,0.0408,0.00009287,0.00004909,0
1.04,-0.00182291658696,0.00208333329644,-0.00190972222003,0.00217013892952,0.01683,-0.0001361,0.00006136,0.0412,0.0001021,0.00002454,0
1.05,-0.00182291658696,0.00208333329644,-0.00208333329644,0.00217013892952,0.01722,-0.0001279,0.0001432,0.0416,0.0001021,-0.00002454,0
1.06,-0.00182291658696,0.00208333329644,-0.00208333329644,0.00217013892952,0.0176,-0.0001196,0.000225, 0.042,0.0000959,-0.00005727,0
1.07,-0.00182291658696,0.00208333329644,-0.00208333329644,0.00217013892952,0.01799,-0.0001113,0.0003068,0.0424,0.0000897,-0.00008999,0
1.08,-0.00217013892952,0.00225694437286,-0.00225694437286,0.00217013892952,0.0184,-0.000103,0.0003068,0.0428,0.00008347,-0.0001227,0
1.09,-0.00217013892952,0.00225694437286,-0.00225694437286,0.00217013892952,0.01882,-0.00009468,0.0003068,0.0432,0.00007724,-0.0001227,0
1.1,-0.00217013892952,0.00225694437286,-0.00225694437286,0.00217013892952,0.01924,-0.00008637,0.0003068,0.0436,0.00007101,-0.0001227,0
1.11,-0.00217013892952,0.00225694437286,-0.00225694437286,0.00217013892952,0.01966,-0.00007806,0.0003068, 0.044,0.00006478,-0.0001227,0
1.12,-0.00225694437286,0.00234375000593,-0.00234375000593,0.00225694437286,0.02009,-0.00006975,0.0003068,0.0444,0.00005855,-0.0001227,0
1.13,-0.00225694437286,0.00234375000593,-0.00234375000593,0.00225694437286,0.02052,-0.00006143,0.0003068,0.0448,0.00005231,-0.0001227,0
1.14,-0.00225694437286,0.00234375000593,-0.00234375000593,0.00225694437286,0.02096,-0.00005312,0.0003068,0.0452,0.00004608,-0.0001227,0
1.15,-0.00225694437286,0.00234375000593,-0.00234375000593,0.00225694437286,0.02139,-0.00004481,0.0003068,0.0456,0.00003984,-0.0001227,0
1.16,-0.00225694437286,0.00234375000593,-0.00243055544928,0.00243055544928,0.02184,-0.00004057,0.0003272, 0.046,0.0000336,-0.0001227,0
1.17,-0.00225694437286,0.00234375000593,-0.00243055544928,0.00243055544928,0.02228,-0.00003632,0.0003477,0.0464,0.00003043,-0.0001309,0
1.18,-0.00225694437286,0.00234375000593,-0.00243055544928,0.00243055544928,0.02273,-0.00003207,0.0003682,0.0468,0.00002724,-0.0001391,0
1.19,-0.00251736108235,0.00234375000593,-0.00243055544928,0.00243055544928,0.02319,-0.00004008,0.0003272,0.0472,0.00002405,-0.0001473,0
1.2,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00243055544928,0.02365,-0.00004402,0.0003068,0.0476,0.00003006,-0.0001309,0
1.21,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00243055544928,0.02411,-0.00004797,0.0002863, 0.048,0.00003302,-0.0001227,0
1.22,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00243055544928,0.02457,-0.00005193,0.0002659,0.0484,0.00003598,-0.0001145,0
1.23,-0.00260416671542,0.00251736108235,-0.00251736108235,0.00234375000593,0.02504,-0.00004771,0.0002045,0.0488,0.00003895,-0.0001064,0
1.24,-0.00260416671542,0.00251736108235,-0.00251736108235,0.00234375000593,0.02551,-0.00004353,0.0001432,0.0492,0.00003578,-0.00008181,0
1.25,-0.00260416671542,0.00251736108235,-0.00251736108235,0.00234375000593,0.02598,-0.00003937,0.00008181,0.0496,0.00003264,-0.00005727,0
1.26,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00234375000593,0.02644,-0.00003933,0.00004091,  0.05,0.00002953,-0.00003273,0
1.27,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00234375000593,0.0269,-0.00003931,3.828E-10,0.0504,0.0000295,-0.00001636,0
1.28,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00234375000593,0.02736,-0.00003931,-0.00004091,0.0508,0.00002948,-1.531E-10,0
1.29,-0.00251736108235,0.00243055544928,-0.00243055544928,0.00234375000593,0.02782,-0.00003933,-0.00008181,0.0512,0.00002948,0.00001636,0
1.3,-0.00251736108235,0.00260416671542,-0.00260416671542,0.00251736108235,0.0283,-0.00003119,-0.00008181,0.0516,0.0000295,0.00003272,0
1.31,-0.00251736108235,0.00260416671542,-0.00260416671542,0.00251736108235,0.02878,-0.00002305,-0.00008181, 0.052,0.00002339,0.00003272,0
1.32,-0.00251736108235,0.00260416671542,-0.00260416671542,0.00251736108235,0.02926,-0.0000149,-0.00008181,0.0524,0.00001728,0.00003272,0
1.33,-0.00269097215876,0.00260416671542,-0.00269097215876,0.00277777779183,0.02977,-0.00002313,-0.00008181,0.0528,0.00001118,0.00003272,0
1.34,-0.00269097215876,0.00260416671542,-0.00269097215876,0.00277777779183,0.03028,-0.00003135,-0.00008181,0.0532,0.00001735,0.00003272,0
1.35,-0.00269097215876,0.00260416671542,-0.00269097215876,0.00277777779183,0.03079,-0.00003957,-0.00008181,0.0536,0.00002351,0.00003272,0
1.36,-0.00269097215876,0.00260416671542,-0.00269097215876,0.00277777779183,0.03129,-0.0000478,-0.00008181, 0.054,0.00002968,0.00003272,0
1.37,-0.00269097215876,0.00277777779183,-0.00286458323518,0.00303819450132,0.03183,-0.0000519,-0.00002045,0.0544,0.00003585,0.00003272,0
1.38,-0.00269097215876,0.00277777779183,-0.00286458323518,0.00303819450132,0.03236,-0.00005597,0.00004091,0.0548,0.00003892,8.181E-6,0
1.39,-0.00269097215876,0.00277777779183,-0.00286458323518,0.00303819450132,0.0329,-0.00006,0.0001023,0.0552,0.00004197,-0.00001636,0
1.4,-0.00295138886825,0.00295138886825,-0.00286458323518,0.00295138886825,0.03345,-0.00006402,0.0001227,0.0556,0.000045,-0.00004091,0
1.41,-0.00295138886825,0.00295138886825,-0.00286458323518,0.00295138886825,0.03401,-0.00006804,0.0001432, 0.056,0.00004802,-0.00004909,0
1.42,-0.00295138886825,0.00295138886825,-0.00286458323518,0.00295138886825,0.03456,-0.00007204,0.0001636,0.0564,0.00005103,-0.00005727,0
1.43,-0.00295138886825,0.00303819450132,-0.00286458323518,0.00303819450132,0.03512,-0.000076,0.000225,0.0568,0.00005403,-0.00006545,0
1.44,-0.00295138886825,0.00303819450132,-0.00286458323518,0.00303819450132,0.03568,-0.00007993,0.0002863,0.0572,0.000057,-0.00008999,0
1.45,-0.00295138886825,0.00303819450132,-0.00286458323518,0.00303819450132,0.03624,-0.00008383,0.0003477,0.0576,0.00005995,-0.0001145,0
1.46,-0.00295138886825,0.00303819450132,-0.00286458323518,0.00303819450132,0.0368,-0.00008769,0.0004091, 0.058,0.00006287,-0.0001391,0
1.47,-0.00295138886825,0.00295138886825,-0.00295138886825,0.00321180538801,0.03737,-0.00009969,0.0004704,0.0584,0.00006577,-0.0001636,0
1.48,-0.00295138886825,0.00295138886825,-0.00295138886825,0.00321180538801,0.03794,-0.0001117,0.0005318,0.0588,0.00007477,-0.0001882,0
1.49,-0.00295138886825,0.00295138886825,-0.00295138886825,0.00321180538801,0.0385,-0.0001236,0.0005931,0.0592,0.00008375,-0.0002127,0
1.5,-0.00312499994467,0.00303819450132,-0.00312499994467,0.00303819450132,0.03909,-0.0001233,0.0005522,0.0596,0.0000927,-0.0002373,0
1.51,-0.00312499994467,0.00303819450132,-0.00312499994467,0.00303819450132,0.03967,-0.0001229,0.0005113,  0.06,0.00009244,-0.0002209,0
1.52,-0.00312499994467,0.00303819450132,-0.00312499994467,0.00303819450132,0.04025,-0.0001226,0.0004704,0.0604,0.0000922,-0.0002045,0
1.53,-0.00321180538801,0.00321180538801,-0.00312499994467,0.00303819450132,0.04084,-0.0001183,0.00045,0.0608,0.00009198,-0.0001882,0
1.54,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04145,-0.000118,0.00045,0.0612,0.0000887,-0.00018,0
1.55,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04205,-0.0001177,0.00045,0.0616,0.00008849,-0.00018,0
1.56,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04266,-0.0001174,0.00045, 0.062,0.00008829,-0.00018,0
1.57,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04326,-0.0001172,0.00045,0.0624,0.00008809,-0.00018,0
1.58,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04387,-0.0001169,0.00045,0.0628,0.00008788,-0.00018,0
1.59,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04447,-0.0001166,0.00045,0.0632,0.00008768,-0.00018,0
1.6,-0.00321180538801,0.00321180538801,-0.00321180538801,0.00321180538801,0.04508,-0.0001164,0.00045,0.0636,0.00008747,-0.00018,0
1.61,-0.00338541665415,0.00329861102108,-0.00329861102108,0.00329861102108,0.0457,-0.0001202,0.0004295, 0.064,0.00008727,-0.00018,0
1.62,-0.00338541665415,0.00329861102108,-0.00329861102108,0.00329861102108,0.04633,-0.000124,0.0004091,0.0644,0.00009013,-0.0001718,0
1.63,-0.00338541665415,0.00329861102108,-0.00329861102108,0.00329861102108,0.04696,-0.0001278,0.0003886,0.0648,0.00009299,-0.0001636,0
1.64,-0.00338541665415,0.00329861102108,-0.00329861102108,0.00329861102108,0.04758,-0.0001317,0.0003682,0.0652,0.00009587,-0.0001554,0
1.65,-0.00329861102108,0.00329861102108,-0.00338541665415,0.00329861102108,0.04821,-0.0001273,0.0003477,0.0656,0.00009875,-0.0001473,0
1.66,-0.00329861102108,0.00329861102108,-0.00338541665415,0.00329861102108,0.04883,-0.000123,0.0003273, 0.066,0.00009551,-0.0001391,0
1.67,-0.00329861102108,0.00329861102108,-0.00338541665415,0.00329861102108,0.04946,-0.0001187,0.0003068,0.0664,0.00009228,-0.0001309,0
1.68,-0.00347222228722,0.00347222228722,-0.00347222228722,0.00347222228722,0.05011,-0.0001185,0.0003068,0.0668,0.00008906,-0.0001227,0
1.69,-0.00347222228722,0.00347222228722,-0.00347222228722,0.00347222228722,0.05077,-0.0001183,0.0003068,0.0672,0.00008891,-0.0001227,0
1.7,-0.00347222228722,0.00347222228722,-0.00347222228722,0.00347222228722,0.05142,-0.0001181,0.0003068,0.0676,0.00008876,-0.0001227,0
1.71,-0.00347222228722,0.00347222228722,-0.00347222228722,0.00347222228722,0.05208,-0.0001179,0.0003068, 0.068,0.00008861,-0.0001227,0
1.72,-0.00347222228722,0.00347222228722,-0.00347222228722,0.0035590279203,0.05274,-0.0001218,0.0003273,0.0684,0.00008846,-0.0001227,0
1.73,-0.00347222228722,0.00347222228722,-0.00347222228722,0.0035590279203,0.05339,-0.0001257,0.0003477,0.0688,0.00009136,-0.0001309,0
1.74,-0.00347222228722,0.00347222228722,-0.00347222228722,0.0035590279203,0.05405,-0.0001295,0.0003682,0.0692,0.00009426,-0.0001391,0
1.75,-0.00364583317391,0.00364583317391,-0.00347222228722,0.0035590279203,0.05473,-0.0001334,0.0003886,0.0696,0.00009715,-0.0001473,0
1.76,-0.00364583317391,0.00364583317391,-0.00347222228722,0.00364583317391,0.05541,-0.0001412,0.0004295,  0.07,0.0001,-0.0001554,0
1.77,-0.00364583317391,0.00364583317391,-0.00347222228722,0.00364583317391,0.05609,-0.0001491,0.0004704,0.0704,0.0001059,-0.0001718,0
1.78,-0.00364583317391,0.00364583317391,-0.00347222228722,0.00364583317391,0.05677,-0.0001569,0.0005113,0.0708,0.0001118,-0.0001882,0
