4031.52,0,1,2
4059.2,272,-136,65
4059.24,288,-114,77
4059.28,304,-112,80
4059.32,296,-132,98
4059.36,277,-138,83
4059.4,361,-142,79
4059.44,296,-188,72
4059.48,303,-158,69
4059.52,307,-175,48
4059.56,283,-190,36
4059.6,283,-163,27
4059.64,291,-151,25
4059.68,296,-135,32
4059.72,275,-146,46
4059.76,278,-130,63
4059.8,276,-119,72
4059.84,288,-131,83
4059.88,282,-146,78
4059.92,263,-153,96
4059.96,254,-179,92
4060,270,-172,92
4060.04,344,-192,102
4060.08,203,-114,133
4060.12,284,-137,132
4060.16,287,-144,136
4060.2,342,-144,129
4060.24,281,-164,119
4060.28,285,-131,121
4060.32,295,-148,84
4060.36,280,-153,75
4060.4,270,-170,66
4060.44,279,-145,59
4060.48,288,-133,56
4060.52,307,-142,50
4060.56,276,-154,39
4060.6,271,-154,39
4060.64,272,-148,36
4060.68,302,-139,27
4060.72,294,-133,27
4060.76,301,-132,17
4060.8,291,-140,8
4060.84,343,-147,1
4060.88,277,-169,2
4060.92,278,-139,0
4060.96,286,-147,0
4061,304,-152,1
4061.04,276,-181,12
4061.08,276,-156,9
4061.12,366,-160,19
4061.16,294,-118,36
4061.2,313,-109,31
4061.24,209,-94,29
4061.28,354,-123,31
4061.32,279,-155,34
4061.36,297,-133,47
4061.4,286,-140,42
4061.44,288,-149,56
4061.48,269,-168,66
4061.52,295,-172,73
4061.56,299,-159,85
4061.6,309,-122,118
4061.64,320,-106,114
4061.68,306,-119,119
4061.72,274,-115,137
4061.76,348,-148,143
4061.8,272,-124,173
4061.84,297,-131,126
4061.88,262,-170,115
4061.92,231,-138,89
4061.96,236,-247,112
4062,287,-184,138
4062.04,295,-169,128
4062.08,321,-145,137
4062.12,301,-155,131
4062.16,295,-141,118
4062.2,290,-157,105
4062.24,290,-138,91
4062.28,303,-138,79
4062.32,303,-154,69
4062.36,273,-179,70
4062.4,276,-151,67
4062.44,289,-149,68
4062.48,315,-149,70
4062.52,319,-144,75
4062.56,383,-145,90
4062.6,289,-152,114
4062.64,291,-126,159
4062.68,313,-111,128
4062.72,301,-129,130
4062.76,267,-157,126
4062.8,261,-146,77
4062.84,335,-183,55
4062.88,278,-145,45
4062.92,270,-159,19
4062.96,257,-156,3
4063,248,-112,1
4063.04,278,-179,-6
4063.08,257,-124,1
4063.12,258,-123,1
4063.16,261,-117,-2
4063.2,250,-123,3
4063.24,249,-112,2
4063.28,255,-107,-1
4063.32,266,-111,5
4063.36,245,-145,10
4063.4,221,-140,7
4063.44,226,-147,19
4063.48,316,-170,35
4063.52,297,-111,48
4063.56,288,-107,54
4063.6,299,-112,71
4063.64,278,-105,75
4063.68,304,-127,85
4063.72,356,-139,110
4063.76,300,-123,90
4063.8,308,-139,107
4063.84,295,-156,95
4063.88,292,-185,101
4063.92,277,-197,113
4063.96,302,-167,114
4064,315,-157,116
4064.04,343,-144,105
4064.08,312,-163,114
4064.12,308,-159,126
4064.16,405,-152,119
4064.2,356,-208,137
4064.24,317,-173,175
4064.28,286,-182,140
4064.32,273,-174,88
4064.36,302,-177,68
4064.4,282,-180,60
4064.44,292,-171,48
4064.48,271,-173,41
4064.52,287,-169,38
4064.56,277,-151,39
4064.6,361,-196,56
4064.64,284,-142,37
4064.68,292,-152,58
4064.72,304,-142,57
4064.76,292,-137,56
4064.8,293,-132,47
4064.84,296,-144,45
4064.88,307,-149,53
4064.92,294,-164,57
4064.96,282,-140,62
4065,270,-127,71
4065.04,290,-131,92
4065.08,350,-153,112
4065.12,202,-89,136
4065.16,260,-113,129
4065.2,317,-145,137
4065.24,259,-126,101
4065.28,246,-157,69
4065.32,246,-154,80
4065.36,255,-162,57
4065.4,276,-141,59
4065.44,276,-134,64
4065.48,280,-146,65
4065.52,294,-148,63
4065.56,316,-147,56
4065.6,295,-150,60
4065.64,289,-126,54
4065.68,310,-130,64
4065.72,373,-174,76
4065.76,296,-167,89
4065.8,282,-158,69
4065.84,222,-108,53
4065.88,371,-144,76
4065.92,307,-152,95
4065.96,307,-115,114
4066,290,-132,84
4066.04,280,-123,66
4066.08,273,-140,48
4066.12,268,-142,27
4066.16,344,-159,3
4066.2,271,-213,0
4066.24,281,-164,0
4066.28,279,-145,2
4066.32,278,-126,1
4066.36,288,-123,5
4066.4,314,-122,4
4066.44,288,-150,16
4066.48,275,-135,16
4066.52,278,-133,20
4066.56,293,-140,25
4066.6,340,-156,25
4066.64,259,-206,32
4066.68,211,-112,37
4066.72,267,-140,52
4066.76,272,-133,76
4066.8,361,-126,88
4066.84,289,-160,124
4066.88,305,-135,101
4066.92,283,-138,86
4066.96,288,-139,95
4067,290,-142,99
4067.04,314,-147,86
4067.08,283,-161,90
4067.12,276,-141,89
4067.16,356,-171,110
4067.2,286,-149,97
4067.24,319,-125,69
4067.28,291,-211,94
4067.32,280,-152,105
4067.36,282,-136,85
4067.4,301,-127,92
4067.44,295,-142,101
4067.48,297,-147,122
4067.52,277,-162,126
4067.56,294,-142,123
4067.6,280,-156,115
4067.64,286,-157,106
4067.68,290,-163,89
4067.72,288,-176,86
4067.76,257,-167,85
4067.8,259,-148,82
4067.84,277,-147,72
4067.88,354,-153,66
4067.92,298,-182,67
4067.96,277,-145,80
4068,270,-144,53
4068.04,278,-147,38
4068.08,278,-148,40
4068.12,297,-131,43
4068.16,291,-137,53
4068.2,296,-127,70
4068.24,287,-131,80
4068.28,291,-144,95
4068.32,384,-143,97
4068.36,308,-188,104
4068.4,312,-143,149
4068.44,289,-147,102
4068.48,288,-149,98
4068.52,295,-139,81
4068.56,303,-148,90
4068.6,277,-155,110
4068.64,276,-146,111
4068.68,267,-156,90
4068.72,290,-172,94
4068.76,363,-174,90
4068.8,285,-216,94
4068.84,208,-122,104
4068.88,304,-172,113
4068.92,300,-178,126
4068.96,402,-152,123
4069,309,-190,140
4069.04,296,-147,90
4069.08,275,-164,74
4069.12,272,-162,66
4069.16,290,-153,52
4069.2,309,-149,48
4069.24,274,-168,56
4069.28,271,-150,55
4069.32,286,-139,48
4069.36,321,-145,47
4069.4,385,-141,44
4069.44,283,-187,49
4069.48,276,-153,51
4069.52,275,-161,33
4069.56,305,-158,27
4069.6,301,-153,24
4069.64,289,-161,35
4069.68,341,-158,28
4069.72,220,-157,26
4069.76,278,-157,22
4069.8,291,-132,30
4069.84,360,-128,43
4069.88,272,-168,66
4069.92,264,-136,96
4069.96,255,-133,82
4070,264,-128,73
4070.04,279,-136,74
4070.08,247,-157,71
4070.12,245,-159,87
4070.16,253,-150,87
4070.2,286,-147,107
4070.24,284,-128,108
4070.28,274,-116,121
4070.32,345,-109,117
4070.36,265,-131,149
4070.4,278,-119,107
4070.44,263,-140,97
4070.48,277,-142,87
4070.52,257,-149,80
4070.56,258,-161,87
4070.6,254,-172,83
4070.64,279,-152,87
4070.68,298,-138,85
4070.72,321,-124,70
4070.76,292,-141,74
4070.8,355,-163,96
4070.84,290,-132,105
4070.88,311,-126,81
4070.92,302,-123,87
4070.96,280,-120,101
4071,259,-125,97
4071.04,273,-130,96
4071.08,255,-142,78
4071.12,263,-129,69
4071.16,264,-123,54
4071.2,258,-128,52
4071.24,225,-140,35
4071.28,228,-137,20
4071.32,236,-130,13
4071.36,262,-122,17
4071.4,333,-116,11
4071.44,261,-144,19
4071.48,247,-108,34
4071.52,250,-96,31
4071.56,272,-93,43
4071.6,271,-94,47
4071.64,294,-88,49
4071.68,294,-104,66
4071.72,285,-103,74
4071.76,266,-116,62
4071.8,268,-128,66
4071.84,272,-138,59
4071.88,292,-143,77
4071.92,265,-143,87
4071.96,259,-118,100
4072,251,-110,112
4072.04,327,-119,124
4072.08,263,-144,156
4072.12,251,-119,130
4072.16,228,-126,126
4072.2,235,-125,120
4072.24,225,-125,122
4072.28,225,-124,150
4072.32,222,-141,142
4072.36,252,-148,132
4072.4,240,-154,125
4072.44,234,-133,129
4072.48,315,-119,120
4072.52,204,-116,121
4072.56,265,-112,113
4072.6,281,-93,103
4072.64,271,-101,100
4072.68,299,-132,89
4072.72,245,-106,98
4072.76,233,-122,68
4072.8,233,-128,74
4072.84,255,-136,67
4072.88,245,-149,78
4072.92,249,-131,83
4072.96,261,-114,79
4073,284,-112,76
4073.04,275,-125,70
4073.08,288,-125,63
4073.12,329,-132,59
4073.16,253,-162,59
4073.2,276,-118,68
4073.24,265,-125,54
4073.28,271,-129,52
4073.32,272,-144,31
4073.36,276,-149,49
4073.4,322,-141,41
4073.44,259,-148,23
4073.48,198,-90,19
4073.52,274,-112,14
4073.56,317,-126,13
4073.6,225,-147,24
4073.64,220,-114,29
4073.68,212,-105,28
4073.72,213,-114,33
4073.76,195,-116,43
4073.8,192,-107,32
4073.84,189,-101,40
4073.88,192,-91,42
4073.92,183,-77,51
4073.96,185,-60,66
4074,242,-62,73
4074.04,192,-92,84
4074.08,133,-63,99
4074.12,238,-118,144
4074.16,170,-104,120
4074.2,170,-83,82
4074.24,171,-150,123
4074.28,185,-101,93
4074.32,201,-89,85
4074.36,210,-91,81
4074.4,190,-93,70
4074.44,246,-115,73
4074.48,195,-99,46
4074.52,189,-104,41
4074.56,198,-95,35
4074.6,191,-89,28
4074.64,202,-77,28
4074.68,206,-82,31
4074.72,216,-86,25
4074.76,206,-94,18
4074.8,193,-92,13
4074.84,182,-92,11
4074.88,194,-97,6
4074.92,251,-90,3
4074.96,213,-98,10
4075,208,-82,21
4075.04,210,-76,26
4075.08,202,-80,33
4075.12,192,-73,42
4075.16,192,-75,58
4075.2,192,-72,55
4075.24,196,-72,54
4075.28,210,-71,68
4075.32,213,-81,74
4075.36,229,-81,73
4075.4,210,-80,81
4075.44,209,-77,96
4075.48,202,-76,90
4075.52,247,-92,92
4075.56,208,-79,57
4075.6,200,-110,44
4075.64,201,-101,34
4075.68,211,-100,22
4075.72,217,-99,23
4075.76,193,-104,30
4075.8,243,-90,36
4075.84,200,-111,34
4075.88,203,-98,53
4075.92,211,-107,38
4075.96,149,-90,24
4076,260,-111,24
4076.04,215,-134,25
4076.08,217,-102,38
4076.12,214,-90,36
4076.16,215,-98,44
4076.2,223,-111,38
4076.24,222,-131,32
4076.28,211,-108,26
4076.32,206,-109,34
4076.36,213,-102,26
4076.4,195,-93,23
4076.44,264,-82,35
4076.48,206,-116,35
4076.52,199,-111,42
4076.56,206,-111,26
4076.6,197,-109,26
4076.64,202,-107,43
4076.68,189,-96,40
4076.72,204,-97,53
4076.76,186,-102,64
4076.8,180,-114,78
4076.84,180,-116,80
4076.88,206,-113,80
4076.92,235,-128,78
4076.96,177,-99,132
4077,167,-89,111
4077.04,174,-81,100
4077.08,201,-79,103
4077.12,200,-88,81
4077.16,206,-90,124
4077.2,217,-87,78
4077.24,244,-90,65
4077.28,214,-89,59
4077.32,199,-78,55
4077.36,210,-66,42
4077.4,200,-79,43
4077.44,189,-81,45
4077.48,193,-85,34
4077.52,261,-80,35
4077.56,217,-94,30
4077.6,190,-86,52
4077.64,187,-75,40
4077.68,200,-81,44
4077.72,214,-74,52
4077.76,210,-81,54
4077.8,215,-78,54
4077.84,217,-89,54
4077.88,210,-102,55
4077.92,184,-107,47
4077.96,190,-102,40
4078,249,-98,42
4078.04,200,-117,40
4078.08,217,-84,31
4078.12,216,-81,33
4078.16,206,-89,44
4078.2,182,-90,45
4078.24,189,-77,49
4078.28,187,-64,51
4078.32,187,-49,56
