,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,CDAD0,CDAD0,CDAD0,CCE40,CCE40,CCE40,CD000,CD000,CD000
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
30,0.3,-0.815391,-1.213287,-0.072341,-0.582202,0.101675,-0.238283,0.000778,-0.628458,0.102573,-0.187987,0.816556,-0.486311,0.101177,-0.266342,0.805579,-0.631836,0.101275,-0.260521,0.979227,-0.627786,0.102568,-0.188282,-0.486977,0.101184,-0.265939,-0.631883,0.101274,-0.26059
31,0.31,-0.798322,-1.182578,-0.317265,-0.582008,0.101508,-0.238364,0.000359,-0.628249,0.102574,-0.188057,0.871223,-0.486127,0.100618,-0.266443,0.930264,-0.631648,0.101333,-0.260592,0.923836,-0.627786,0.102568,-0.188282,-0.48626,0.100623,-0.266198,-0.631952,0.101334,-0.26061
32,0.32,-1.017522,-1.160518,0.095878,-0.582371,0.101786,-0.238018,0.000962,-0.628803,0.102504,-0.187882,0.871223,-0.486382,0.101596,-0.265745,0.930264,-0.631926,0.101259,-0.260429,0.923836,-0.627878,0.102501,-0.188188,-0.487267,0.101603,-0.26516,-0.632047,0.101256,-0.260601
33,0.33,-1.069669,-1.178948,-0.030799,-0.582353,0.101673,-0.237903,0.001359,-0.628831,0.102507,-0.187811,0.756359,-0.486339,0.101261,-0.265537,0.734892,-0.631888,0.101249,-0.26036,0.947401,-0.627878,0.102501,-0.188188,-0.487644,0.101273,-0.264821,-0.63184,0.101247,-0.260506
34,0.34,-1.001706,-1.028756,-0.072178,-0.582558,0.101608,-0.23824,0.000407,-0.628977,0.102342,-0.188092,0.96214,-0.486577,0.101206,-0.265988,0.904826,-0.63212,0.101277,-0.26064,0.94323,-0.628854,0.102341,-0.18818,-0.486949,0.101207,-0.265908,-0.631893,0.101278,-0.260627
35,0.35,-1.060449,-1.015616,-0.124197,-0.582375,0.101744,-0.237886,0.001358,-0.628846,0.102508,-0.187785,0.737839,-0.486366,0.101262,-0.265534,0.633977,-0.631914,0.101464,-0.260338,0.966389,-0.627878,0.102501,-0.188188,-0.487644,0.101273,-0.264821,-0.63188,0.101462,-0.260468
36,0.36,-1.011689,-1.163732,0.134766,-0.582318,0.101814,-0.238015,0.001074,-0.628745,0.102504,-0.187873,0.737839,-0.486333,0.101687,-0.265753,0.633977,-0.631876,0.101252,-0.26042,0.966389,-0.627878,0.102501,-0.188188,-0.487344,0.101693,-0.265172,-0.631888,0.101249,-0.260569
37,0.37,-0.955669,-0.899832,-0.092129,-0.582517,0.101575,-0.23822,0.000437,-0.628896,0.10221,-0.188033,0.769264,-0.486558,0.101205,-0.266046,0.70852,-0.632096,0.10131,-0.260582,0.962616,-0.628669,0.102208,-0.188155,-0.486949,0.101207,-0.265908,-0.631958,0.10131,-0.26059
38,0.38,-1.068224,-1.170461,-0.03567,-0.582447,0.101676,-0.237938,0.001255,-0.628924,0.102507,-0.187845,0.724677,-0.486434,0.101261,-0.265575,0.643457,-0.631983,0.10126,-0.260394,0.945897,-0.627878,0.102501,-0.188188,-0.487644,0.101273,-0.264821,-0.632047,0.101256,-0.260601
39,0.39,-1.015278,-1.123766,0.074858,-0.582312,0.101803,-0.23799,0.001036,-0.628743,0.102505,-0.187852,0.767985,-0.486325,0.101596,-0.26572,0.726035,-0.631869,0.101308,-0.260399,0.966992,-0.627878,0.102501,-0.188188,-0.487267,0.101603,-0.26516,-0.631907,0.101306,-0.260526
40,0.4,-1.162564,-0.969921,0.155266,-0.582636,0.101703,-0.237968,0.000774,-0.629195,0.102204,-0.187946,0.767985,-0.486579,0.101709,-0.265453,0.726035,-0.632135,0.101196,-0.260504,0.966992,-0.628712,0.102203,-0.188136,-0.487319,0.10171,-0.265143,-0.631979,0.101195,-0.260581
41,0.41,-1.018709,-1.043691,0.073325,-0.582316,0.101872,-0.237997,0.00107,-0.62875,0.102504,-0.18786,0.870108,-0.486328,0.101704,-0.265721,0.799307,-0.631872,0.101409,-0.260409,0.95646,-0.627878,0.102501,-0.188188,-0.487319,0.10171,-0.265143,-0.631893,0.101407,-0.260548
42,0.42,-1.031429,-1.206564,0.129259,-0.582335,0.101772,-0.238001,0.000981,-0.62878,0.102504,-0.187876,0.761445,-0.48634,0.101613,-0.265705,0.732962,-0.631885,0.101198,-0.260422,0.953972,-0.627878,0.102501,-0.188188,-0.487242,0.10162,-0.265132,-0.631979,0.101195,-0.260581
43,0.43,-1.133885,-0.885068,0.068817,-0.582648,0.10171,-0.237997,0.000815,-0.629183,0.102204,-0.187953,0.8736,-0.486604,0.101616,-0.265528,0.787342,-0.632158,0.10131,-0.260511,0.946104,-0.628712,0.102203,-0.188136,-0.487396,0.101617,-0.265219,-0.631958,0.10131,-0.26059
44,0.44,-0.83866,-1.175491,-0.026462,-0.582232,0.101677,-0.23822,0.000725,-0.628508,0.102505,-0.187941,0.8736,-0.48633,0.101275,-0.266241,0.787342,-0.631857,0.101251,-0.260477,0.946104,-0.627878,0.102501,-0.188188,-0.486977,0.101281,-0.265861,-0.631888,0.101249,-0.260569
45,0.45,-0.942155,-1.120687,-0.144212,-0.581738,0.101631,-0.238219,0.000317,-0.628105,0.102504,-0.188024,0.830765,-0.485786,0.101061,-0.266063,0.812465,-0.631323,0.101329,-0.260568,0.975849,-0.627878,0.102501,-0.188188,-0.485614,0.101063,-0.265945,-0.631734,0.10133,-0.260513
46,0.46,-1.106382,-0.979094,-0.165084,-0.58208,0.101479,-0.238158,0.00045,-0.628591,0.102243,-0.188095,0.969044,-0.486049,0.100947,-0.265729,0.88751,-0.631601,0.101248,-0.260651,0.92539,-0.628715,0.102243,-0.1881,-0.485606,0.100945,-0.265811,-0.631888,0.101249,-0.260569
47,0.47,-1.021057,-1.116998,0.115214,-0.582343,0.10184,-0.238012,0.001033,-0.628778,0.102503,-0.187878,0.761868,-0.486353,0.101704,-0.265734,0.717,-0.631897,0.101312,-0.260426,0.956389,-0.627878,0.102501,-0.188188,-0.487319,0.10171,-0.265143,-0.631958,0.10131,-0.26059
48,0.48,-0.762514,-1.194282,-0.272525,-0.58208,0.101466,-0.238329,0.000335,-0.62829,0.102506,-0.187993,0.761868,-0.486216,0.100644,-0.26647,0.717,-0.631735,0.101247,-0.260525,0.956389,-0.627878,0.102501,-0.188188,-0.486286,0.100648,-0.266249,-0.632061,0.101248,-0.260546
49,0.49,-1.229519,-1.005582,-0.031864,-0.582694,0.101591,-0.237901,0.001045,-0.629313,0.102272,-0.187937,0.88597,-0.486604,0.101267,-0.265269,0.942117,-0.632167,0.101234,-0.260498,0.91826,-0.628671,0.10227,-0.188167,-0.487644,0.101273,-0.264821,-0.63198,0.101232,-0.26062
50,0.5,-1.161247,-0.923246,0.117271,-0.582621,0.101742,-0.237981,0.000829,-0.629179,0.102231,-0.187959,0.858368,-0.486564,0.101709,-0.265468,0.79446,-0.63212,0.101285,-0.260518,0.961665,-0.628668,0.10223,-0.188203,-0.487319,0.10171,-0.265143,-0.631972,0.101285,-0.260558
51,0.51,-0.835446,-1.114651,-0.091315,-0.582182,0.10168,-0.238238,0.000734,-0.628456,0.102505,-0.187957,0.844309,-0.486282,0.101201,-0.266264,0.811055,-0.631809,0.101333,-0.260495,0.97809,-0.627878,0.102501,-0.188188,-0.486949,0.101207,-0.265908,-0.631783,0.101332,-0.260579
52,0.52,-0.82454,-1.176967,-0.047535,-0.582223,0.101659,-0.238237,0.000696,-0.628487,0.102505,-0.187947,0.836126,-0.486328,0.101221,-0.266281,0.820834,-0.631854,0.101251,-0.260482,0.976772,-0.627878,0.102501,-0.188188,-0.486945,0.101227,-0.265916,-0.631888,0.101249,-0.260569
